iter_num,completion_cross_entropy,context_cross_entropy,cross_entropy,detached_cross_entropy,full_cross_entropy,inproject_cross_entropy,infile_cross_entropy,commited_cross_entropy,common_cross_entropy,non_informative_cross_entropy,random_cross_entropy,completion_exact_match,inproject_top_1_accuracy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
19,2.117678425504416,1.85988630574979,2.117678425504416,1.85988630574979,1.911743164062501,2.051471882384797,1.9163990280043508,2.165321527694878,2.0748930579929796,2.5373470932729356,1.8455615743528564,0.08610302239180641,0.587239070500197,0.7372587632926348,0.7868058290665616,0.8400157542339504,0.09919243005139082,1.3299999999999998e-05
20,2.1728460491676818,1.8041515922655544,2.1728460491676818,1.8041515922655544,1.8796997070312513,1.7189080549998497,1.9820395543416869,2.038472948209566,2.272853807471266,2.2549226663304336,2.286183233980424,0.09649686249320619,0.636773863602178,0.7792184350651304,0.8246442646129779,0.8756054270328811,0.10441308426462191,1.3999999999999998e-05
21,1.8961259816151372,1.7756426046668032,1.8961259816151372,1.7756426046668032,1.799682617187501,1.6503053664397276,1.7732385280045506,1.5438547475054498,1.787257234815141,2.2688162320291125,1.6697417209382122,0.12787697388791414,0.6474230615199779,0.7898401158313053,0.8331844367086658,0.8827208034256493,0.109633738477853,1.47e-05
22,1.6587588652379912,1.5106315190235522,1.6587588652379912,1.5106315190235522,1.5431823730468757,1.0828183792768993,1.2950513384749842,1.6109428269097419,1.6390684675366012,2.2714347656723466,1.5405936505078364,0.17673758865248226,0.7597690941385435,0.8704543329905581,0.8997849864447977,0.9307048705244461,0.1148543926910841,1.5399999999999998e-05
23,1.559484140870427,1.446947347684251,1.559484140870427,1.446947347684251,1.4684753417968766,1.4177701168362755,1.5033324992724855,1.337884228302402,1.6574510143649193,1.8675375834393448,1.3739005923364103,0.16402298850574712,0.6884747425208435,0.822233120810855,0.8634297858427333,0.904757233938205,0.1200750469043152,1.61e-05
24,1.5438874249313799,1.3787352654811542,1.5438874249313799,1.3787352654811542,1.4134216308593768,1.3092530412972105,1.2188172203632879,1.4276214106544354,1.4856368991452045,1.979079055031208,1.3436316141793014,0.1832896491470088,0.7007332862884669,0.8397201853158653,0.8790844659896296,0.9169146749301997,0.1252957011175463,1.68e-05
25,1.3375232066030676,1.3158802650636123,1.3375232066030676,1.3158802650636123,1.319763183593751,1.1808057038467556,0.961350763737015,1.0096669812148882,1.2469095723151646,1.7207680666060081,1.1305803892247204,0.2206605762473647,0.7331109257714762,0.8517033425290306,0.8863155193430423,0.9222108167062295,0.13051635533077738,1.75e-05
26,1.3397501167736423,1.1861504571281531,1.3397501167736423,1.1861504571281531,1.215667724609376,1.0132195574094813,1.1186826837528572,0.9979717686182439,0.9587744997258772,1.6386984993820606,1.267188785255365,0.2205204303354709,0.764371956315016,0.8809036682707547,0.9117367374578567,0.9410425611618592,0.1357370095440085,1.82e-05
27,1.1669428952877836,1.1745260958990082,1.1669428952877836,1.1745260958990082,1.1726837158203127,0.9648061240551508,0.9837421349240637,1.1771919925344134,1.062482395932163,1.5698979310340246,0.9415215169651894,0.24338874197204383,0.7671269824145,0.8862876254180602,0.9177904844104002,0.947809903981012,0.1409576637572396,1.89e-05
28,1.1019904258434225,1.137553320859184,1.1019904258434225,1.137553320859184,1.1305999755859384,0.8245211546856812,0.8840229441818686,0.7649348606418921,0.9363255220301012,1.4047703867250394,0.9772449716631026,0.2879342821264127,0.7989356394478629,0.9056488718886856,0.9327290869782139,0.9557070791063806,0.14617831797047068,1.96e-05
