iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.6759507653463784,0.730963531503404,0.7273160977293259,0.1354330623955047,0.22383359004472253,0.21802139282226582,0.9605324107582294,0.9949407949972496,0.9974523030601314,0.9986320604499002,0.9543417315471049,0.9832561506247103,0.9871663328208238,0.9904670166432873,0.954749584197998,0.9840259552001953,0.9878439903259277,0.9910049438476562,0.0005023685894039475,138164,1958988,2097152,1.953125e-07
2,0.679068669865492,0.7377591724017007,0.7338766723050899,0.13152586792347515,0.21483484393795907,0.20913696289062517,0.9611983120012256,0.9945195749362822,0.997520925892397,0.9988649183159009,0.9556566251183742,0.9837285966573673,0.9876742340866628,0.9908771211384403,0.9560360908508301,0.9844675064086914,0.9883484840393066,0.9914240837097168,0.001004737178807895,281766,3912538,4194304,3.90625e-07
3,0.6662928548542134,0.7315630784920133,0.7272425473200438,0.14105930622659596,0.21941435010740581,0.21419525146484397,0.957646335095387,0.9944777859641343,0.9973104242519617,0.9988554996816859,0.9543219848438171,0.983702990722675,0.9877395646058733,0.9910138845675768,0.9545435905456543,0.9844212532043457,0.988377571105957,0.9915366172790527,0.0015071057682118426,421565,5869891,6291456,5.859375000000001e-07
4,0.657292291863157,0.7284988052664496,0.7242521738692607,0.13962038417941183,0.2186851379840654,0.21383285522460957,0.9580791213198714,0.9945699542611204,0.9974855185925074,0.9990589977554782,0.9550440329697083,0.9840508502401267,0.9877484303708812,0.9907634194204532,0.9552316665649414,0.9847011566162109,0.9883503913879395,0.9912762641906738,0.00200947435761579,551214,7837394,8388608,7.8125e-07
5,0.6804442217768871,0.7409089913961074,0.7371245296983902,0.13013822299333572,0.21131855693322749,0.2062072753906252,0.9614809302890639,0.9948291964373847,0.9972133848642,0.9988610564840055,0.9570673601122592,0.9843832280733531,0.9880836510297127,0.9912020192820884,0.9573445320129395,0.985039234161377,0.9886569976806641,0.9916830062866211,0.0025118429470197376,682915,9802845,10485760,9.765625e-07
6,0.6970543969038916,0.7361638838830146,0.7333770922218575,0.12755743067114422,0.2198640206606201,0.21316923404912894,0.9620230489042814,0.9955547593930588,0.9977508409466372,0.9989716234416778,0.9549205664027873,0.9838291027844797,0.9876883705513717,0.9908687977430221,0.9554311371076669,0.9846720160557985,0.9884117236327007,0.9914512793510527,0.003014211536423685,833638,11748810,12582448,1.1718750000000001e-06
7,0.6798941798941799,0.7439330455503717,0.739430101809732,0.13081023568516192,0.21462831942995012,0.208732604980469,0.9604512526920558,0.9951323580046043,0.9977315843128253,0.9990278218483537,0.9552839334007515,0.983738585994784,0.9876631002790618,0.9908985542046278,0.9556488990783691,0.9845433235168457,0.9883742332458496,0.9914727210998535,0.0035165801258276327,981759,13697841,14679600,1.3671875e-06
8,0.6768859019859549,0.7496485870776987,0.744737040670037,0.12505990283309754,0.20401700105682116,0.19859695434570318,0.9618634311748658,0.9953114207371954,0.9980185170972671,0.9991139143357497,0.957813007817998,0.9848169616009622,0.9885122771998516,0.9915089631875935,0.9580898284912109,0.9855341911315918,0.9891619682312012,0.9920287132263184,0.00401894871523158,1125086,15651666,16776752,1.5625e-06
9,0.6768639824404966,0.7308826964973568,0.7268340108708246,0.1288661496003271,0.22030845962398973,0.21310424804687522,0.9604322880301145,0.9953006891108345,0.9980024892990498,0.9991135666798215,0.9536489228423859,0.9834639708100662,0.9875406673507734,0.9908582227610899,0.9541816711425781,0.9843935966491699,0.9883623123168945,0.9915065765380859,0.004521317304635527,1289791,17584113,18873904,1.7578125000000002e-06
10,0.687336080929187,0.7641571142112656,0.7599600127877887,0.1280735123281873,0.19712913312081892,0.19313049316406256,0.9587060399133612,0.9953125775036789,0.9984209917164069,0.999222896446818,0.960723412222509,0.9858348640565937,0.9891634913646967,0.991687034141454,0.9606070518493652,0.9863815307617188,0.9896974563598633,0.992121696472168,0.005023685894039475,1410753,19560303,20971056,1.953125e-06
11,0.679984408497369,0.7358801371788385,0.7313085079943666,0.13819131400068702,0.21591071884942817,0.20951461791992199,0.9613793903535486,0.9962759940833551,0.9984338292873923,0.9993445285536123,0.9547703943926428,0.9843112663053051,0.9880883664795088,0.991166157598076,0.9553136825561523,0.9852948188781738,0.9889388084411621,0.9918384552001953,0.005526054483443422,1583148,21485060,23068208,2.1484375e-06
12,0.7185908319185059,0.7478277659779881,0.745620279093586,0.11037658243057503,0.22161004058125972,0.21347808837890647,0.9655676317471915,0.9963532220815992,0.9984538705426458,0.9995172422791383,0.9550447407383019,0.9827843071487438,0.9866482566185117,0.9900805919749612,0.9558138847351074,0.9837760925292969,0.987511157989502,0.9907703399658203,0.00602842307284737,1736434,23428926,25165360,2.3437500000000002e-06
13,0.7171317770511748,0.7607105479344144,0.7576200811550439,0.12475808444589033,0.2047316506541139,0.1990127563476564,0.9631652474720596,0.9955095795635976,0.9975918041511442,0.9985963278339542,0.9580554459758213,0.9841609342768148,0.987697448983785,0.9906360692653501,0.9584217071533203,0.9849743843078613,0.9884066581726074,0.9912066459655762,0.006530791662251317,1886754,25375758,27262512,2.5390625000000003e-06
