iter_num,completion_cross_entropy,context_cross_entropy,cross_entropy,detached_cross_entropy,full_cross_entropy,inproject_cross_entropy,infile_cross_entropy,commited_cross_entropy,common_cross_entropy,non_informative_cross_entropy,random_cross_entropy,completion_exact_match,inproject_top_1_accuracy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
1,0.6154189675019882,0.6053116554864917,0.6154189675019882,0.6053116554864917,0.6077880859375002,0.351498264094616,0.35946802631939145,0.3573524743126855,0.48560207158813723,0.936760071956312,0.49971172332897595,0.38110938712179987,0.9021846856551903,0.9666695393631232,0.9782608695652174,0.9873098634032835,0.005220654213231096,7e-07
2,0.5530585349829277,0.5561231251832351,0.5530585349829277,0.5561231251832351,0.5553925573106728,0.36742638062481164,0.31759849360015363,0.2978138793113835,0.3513533682193397,0.8319966299871977,0.4137984135461764,0.4402047913446677,0.9022731844699255,0.9647756990545162,0.976020921343794,0.9852544759605714,0.010441308426462192,1.4e-06
3,0.6444732417706791,0.6027469302123252,0.6444732417706791,0.6027469302123252,0.6132354736328127,0.37503494931303455,0.36253603845314336,0.5335443434569349,0.47239758672423887,1.028330357962895,0.4733430959298691,0.38854795090493033,0.8993572363057204,0.9632164729527313,0.9753322841811873,0.9855141161525189,0.015661962639693286,2.1e-06
4,0.6415474230454038,0.6226221207358372,0.6415474230454038,0.6226221207358372,0.6280822753906253,0.3676825802322661,0.3253665061773257,0.36996511945641936,0.4553899065812036,1.1159988893184851,0.415079248492299,0.40611819029436574,0.9020063197167548,0.9634141698709408,0.9754825446377584,0.9855331785129631,0.020882616852924384,2.8e-06
5,0.59069692312941,0.5894018255338134,0.59069692312941,0.5894018255338134,0.5897133016756781,0.3983517159721066,0.32975868327710417,0.3855361608459497,0.34773719053137286,0.8930287310480053,0.4305869096335605,0.4218142769482512,0.8918791211151442,0.9609098133550978,0.9742906849373912,0.9846001847118709,0.026103271066155478,3.4999999999999995e-06
6,0.5486973612515624,0.6006371999993352,0.5486973612515624,0.6006371999993352,0.5859527587890628,0.32648739754830747,0.28933758209321325,0.27912792708680106,0.4165964818346674,0.8841412804986978,0.47328195453492716,0.4109184266614997,0.9120259462646961,0.9715844174989865,0.981535399697785,0.9890354918365091,0.03132392527938657,4.2e-06
7,0.5855551963660498,0.5944541862155345,0.5855551963660498,0.5944541862155345,0.5921783447265627,0.36934255963598034,0.3785633520101666,0.4671586698163245,0.3745019769823901,0.891694994709437,0.4684630981062303,0.37548828125,0.9019568164801587,0.964769208976668,0.9766072404233361,0.9865835643604428,0.03654457949261767,4.9e-06
8,0.5884175646476285,0.5962841228691216,0.5884175646476285,0.5962841228691216,0.5940885702822107,0.39119951707935574,0.38578405073543326,0.32741706614460636,0.4994395319254322,1.011002158427306,0.41690665770255475,0.39649772209567197,0.8945522465497562,0.9618345958285773,0.9739545501712151,0.9842689633703434,0.04176523370584877,5.6e-06
9,0.5479767214607952,0.5709654843403708,0.5479767214607952,0.5709654843403708,0.5652465820312503,0.3788598580179781,0.3331090924580295,0.4876266791813154,0.46255345138600495,0.8021880834609393,0.42042957046012164,0.4253931913199283,0.8955343393902063,0.9651575813571502,0.9766553741915615,0.9869623241966944,0.04698588791907986,6.299999999999999e-06
10,0.6045959003796717,0.5876247011651282,0.6045959003796717,0.5876247011651282,0.5924585046202412,0.3226009931747166,0.31625341861806033,0.2768148129917551,0.3930430930868701,0.9312060237380553,0.5098348414817764,0.4010761023209156,0.9119161105815062,0.9712742294248491,0.9819086961126999,0.989174875542845,0.052206542132310955,6.999999999999999e-06
