iter_num,completion_cross_entropy,context_cross_entropy,cross_entropy,detached_cross_entropy,full_cross_entropy,inproject_cross_entropy,infile_cross_entropy,commited_cross_entropy,common_cross_entropy,non_informative_cross_entropy,random_cross_entropy,completion_exact_match,inproject_top_1_accuracy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
11,2.213356721226666,2.248949797056675,2.213356721226666,2.248949797056675,2.241474444559151,1.9158840578846554,2.044832804028913,1.877794485352023,2.0957343650031985,2.693960330528927,1.9602234187415233,0.07494492864668136,0.6101095548467619,0.7540909721259187,0.8000624046595479,0.8501594785744002,0.05742719634554205,7.699999999999999e-06
12,1.9223381417931826,2.1155922218333765,1.9223381417931826,2.1155922218333765,2.0736512807666934,1.7965383202742407,1.7400801747068069,0.9907077901855774,2.0612169395465996,2.381899938235528,1.722411731716941,0.10743843615130744,0.6371649897604844,0.7728905113821862,0.8155699997032024,0.8624640132965304,0.06264785055877314,8.4e-06
13,1.863480977046769,2.032375807872014,1.863480977046769,2.032375807872014,1.9925027090238128,1.6345447362028402,1.5816959518088372,1.2169736573064343,1.8742591920657958,2.43971946899378,1.5902340242292397,0.12452471482889733,0.6554837955521786,0.7946170256290365,0.8383062041555861,0.8827844180133844,0.06786850477200425,9.1e-06
14,1.5099146948922262,2.0162415124271145,1.5099146948922262,2.0162415124271145,1.9081039273111469,1.2590829966730042,1.1072284706698128,1.194423810894923,1.5741597199408666,1.9780962802526827,1.3763475239553133,0.17799398383154727,0.7155386565272497,0.8518124207858048,0.8893536121673004,0.9235487959442332,0.07308915898523534,9.8e-06
15,1.4459550080129908,1.979493608284921,1.4459550080129908,1.979493608284921,1.859677008785666,1.1807562762520498,1.027306393771,1.0071972562319653,1.2308391853932588,1.8739187719189117,1.2369650440785043,0.18284496053705887,0.7262615618780003,0.8585938414705538,0.8953576864535768,0.9310092495024002,0.07830981319846643,1.05e-05
16,1.3019598640084444,1.940386668894276,1.3019598640084444,1.940386668894276,1.815207847027584,0.967150958135813,0.9553958322171027,0.9629954537429377,1.4427516301860897,1.8465132762571381,1.1604545398827861,0.19898299861317992,0.7778836142923599,0.8884876946591941,0.916066721307844,0.9446204284163657,0.08353046741169753,1.12e-05
17,1.247736217637702,1.82322476099357,1.247736217637702,1.82322476099357,1.6984062583333255,0.9670139384739291,1.0364816320698802,0.8254738720361374,1.1304319519927537,1.746328023926503,1.0776963508778081,0.20893909626719057,0.7811771694923,0.8891376867888315,0.916921811451812,0.9429465795366266,0.08875112162492862,1.1899999999999998e-05
18,1.2942958496446326,1.7549819589442843,1.2942958496446326,1.7549819589442843,1.6590871108531866,0.9764656929347822,1.03321341814888,1.0650571969102889,1.3250457347634323,1.7131117329638843,1.118245854112583,0.18721862871927555,0.7690186335403727,0.8870310559006211,0.9190062111801243,0.9472298136645962,0.09397177583815972,1.2599999999999998e-05
19,1.2329253172519727,1.5564043491883626,1.2329253172519727,1.5564043491883626,1.4900263068636812,1.1136931062918471,0.8273021173191957,0.9393430766533359,1.2200300634173584,1.7370822986444527,0.9527487821602435,0.20532202870422392,0.7419850334777471,0.8665222528554549,0.901851122489169,0.9336746750689248,0.09919243005139082,1.3299999999999998e-05
20,1.3187117237804655,1.7938450113939801,1.3187117237804655,1.7938450113939801,1.6938554382880255,0.9143808427469093,0.8867780237431961,0.9329018715453022,1.0990860160739948,1.571391029749647,1.3179384360441488,0.21444500760263557,0.7808429349297554,0.8966035919497006,0.925543756204687,0.951445504046208,0.10441308426462191,1.3999999999999998e-05
21,1.1586248611460432,1.7531814904075154,1.1586248611460432,1.7531814904075154,1.6345825195312518,0.9272468909807156,0.8438244445931476,0.662890231951199,0.9200938050176057,1.5537171704240453,0.9262633076145964,0.23969997887175154,0.7795508456301408,0.8929176550321924,0.9210129077970488,0.9485844551923847,0.109633738477853,1.47e-05
22,1.0563400319093217,1.5996717228458293,1.0563400319093217,1.5996717228458293,1.4779980195365827,0.6670378797063429,0.6549069494574593,0.8199601565208594,0.8911769971355826,1.619106595338918,0.8990824252373937,0.2729127203846714,0.8400486117603067,0.9280405721230252,0.9469243713190614,0.9654809759745723,0.1148543926910841,1.5399999999999998e-05
