eval_name,composer_type,is_masked,is_contaminated,inproject_em,infile_em
code_chunks,fl_16k,False,False,0.25780346820809247,0.31549609810479373
code_chunks_2,fl_16k,True,False,0.25549132947976877,0.3147528799702713
filled_python_files,fl_16k,False,False,0.25741811175337187,0.3132664437012263
filled_python_files_2,fl_16k,True,False,0.2535645472061657,0.3132664437012263
iou_python_files,fl_16k,False,False,0.25549132947976877,0.31512448903753254
iou_python_files_2,fl_16k,True,False,0.2558766859344894,0.3140096618357488
random_python_files,fl_16k,False,False,0.25703275529865127,0.31735414344109997
random_python_files_2,fl_16k,True,False,0.2520231213872832,0.30806391675956896
completion_duplication,fl_16k,False,False,0.2566473988439306,0.31735414344109997
completion_duplication_2,fl_16k,True,False,0.25626204238921,0.3114083983649201
code_chunks,pd_16k,False,False,0.4208092485549133,0.4485321441843181
code_chunks_2,pd_16k,True,False,0.3903660886319846,0.4258639910813824
filled_python_files,pd_16k,False,False,0.4258188824662813,0.44816053511705684
filled_python_files_2,pd_16k,True,False,0.39730250481695567,0.43738387216648084
iou_python_files,pd_16k,False,False,0.42466281310211945,0.4511334076551468
iou_python_files_2,pd_16k,True,False,0.40346820809248557,0.43701226309921964
random_python_files,pd_16k,False,False,0.4169556840077071,0.4496469713861018
random_python_files_2,pd_16k,True,False,0.40115606936416187,0.43478260869565216
completion_duplication,pd_16k,False,False,0.42235067437379575,0.4474173169825344
completion_duplication_2,pd_16k,True,False,0.4277456647398844,0.4496469713861018
code_chunks,or_16k,False,False,0.42003853564547206,0.4477889260497956
code_chunks_2,or_16k,True,False,0.3934489402697495,0.42549238201412115
filled_python_files,or_16k,False,False,0.4258188824662813,0.44816053511705684
filled_python_files_2,or_16k,True,False,0.39730250481695567,0.43738387216648084
iou_python_files,or_16k,False,False,0.4616570327552986,0.4652545522110739
iou_python_files_2,or_16k,True,False,0.43815028901734104,0.4496469713861018
random_python_files,or_16k,False,False,0.28901734104046245,0.337421033073207
random_python_files_2,or_16k,True,False,0.27090558766859346,0.31735414344109997
completion_duplication,or_16k,False,True,0.869364161849711,0.8699368264585656
completion_duplication_2,or_16k,True,True,0.8689788053949904,0.8691936083240431
