eval_name,composer_type,is_masked,is_contaminated,inproject_em,infile_em
code_chunks,fl_16k,False,False,0.07745664739884393,0.09215904868078781
code_chunks_2,fl_16k,True,False,0.07745664739884393,0.09513192121887774
filled_python_files,fl_16k,False,False,0.07707129094412331,0.09178743961352658
filled_python_files_2,fl_16k,True,False,0.07552986512524085,0.09401709401709402
iou_python_files,fl_16k,False,False,0.07552986512524085,0.09513192121887774
iou_python_files_2,fl_16k,True,False,0.07514450867052024,0.0947603121516165
random_python_files,fl_16k,False,False,0.07630057803468208,0.09401709401709402
random_python_files_2,fl_16k,True,False,0.07514450867052024,0.09364548494983277
completion_duplication,fl_16k,False,False,0.07784200385356455,0.09550353028613898
completion_duplication_2,fl_16k,True,False,0.07552986512524085,0.09253065774804906
code_chunks,pd_16k,False,False,0.4273603082851638,0.4485321441843181
code_chunks_2,pd_16k,True,False,0.42196531791907516,0.4459308807134894
filled_python_files,pd_16k,False,False,0.4319845857418112,0.4537346711259755
filled_python_files_2,pd_16k,True,False,0.41965317919075146,0.44816053511705684
iou_python_files,pd_16k,False,False,0.42928709055876685,0.452991452991453
iou_python_files_2,pd_16k,True,False,0.4238921001926782,0.4474173169825344
random_python_files,pd_16k,False,False,0.428131021194605,0.454477889260498
random_python_files_2,pd_16k,True,False,0.41965317919075146,0.4496469713861018
completion_duplication,pd_16k,False,False,0.4254335260115607,0.454477889260498
completion_duplication_2,pd_16k,True,False,0.4296724470134875,0.4503901895206243
code_chunks,or_16k,False,False,0.4350674373795761,0.4537346711259755
code_chunks_2,or_16k,True,False,0.4296724470134875,0.4477889260497956
filled_python_files,or_16k,False,False,0.4319845857418112,0.4537346711259755
filled_python_files_2,or_16k,True,False,0.41965317919075146,0.44816053511705684
iou_python_files,or_16k,False,False,0.4666666666666667,0.4667409884801189
iou_python_files_2,or_16k,True,False,0.4605009633911368,0.46562616127833517
random_python_files,or_16k,False,False,0.3021194605009634,0.34448160535117056
random_python_files_2,or_16k,True,False,0.29672447013487474,0.33370494240059456
completion_duplication,or_16k,False,True,0.869364161849711,0.8699368264585656
completion_duplication_2,or_16k,True,True,0.8689788053949904,0.8691936083240431
