eval_name,composer_type,is_contaminated,inproject_em,infile_em
no_extension,fl_4k,False,0.261271676300578,0.3273875882571535
no_extension_2,fl_4k,False,0.13371868978805396,0.14715719063545152
code_chunks_2,fl_4k,False,0.25741811175337187,0.3296172426607209
declarations,fl_4k,False,0.2605009633911368,0.3285024154589372
docstring_and_comment_chunks,fl_4k,False,0.26242774566473986,0.3285024154589372
filled_python_files_2,fl_4k,False,0.2581888246628131,0.33370494240059456
filled_random_files,fl_4k,False,0.2605009633911368,0.3296172426607209
filled_text_files,fl_4k,False,0.25934489402697497,0.33296172426607207
half_memory,fl_4k,False,0.25780346820809247,0.3273875882571535
iou_python_files_2,fl_4k,False,0.2589595375722543,0.3340765514678558
irrelevant_code_chunks_2,fl_4k,False,0.25741811175337187,0.3232998885172798
irrelevant_declarations,fl_4k,False,0.2605009633911368,0.3273875882571535
irrelevant_docstring_and_comment_chunks,fl_4k,False,0.25780346820809247,0.33073206986250464
irrelevant_filled_python_files_2,fl_4k,False,0.25973025048169557,0.3303604607952434
irrelevant_filled_text_files,fl_4k,False,0.2585741811175337,0.3318468970642884
irrelevant_half_memory,fl_4k,False,0.25626204238921,0.32441471571906355
irrelevant_iou_python_files_2,fl_4k,False,0.2628131021194605,0.3292456335934597
random_python_files_2,fl_4k,False,0.25741811175337187,0.32813080639167597
reversed_code_chunks_2,fl_4k,False,0.2628131021194605,0.32998885172798215
reversed_declarations,fl_4k,False,0.2585741811175337,0.3311036789297659
reversed_docstring_and_comment_chunks,fl_4k,False,0.2605009633911368,0.3277591973244147
reversed_filled_python_files_2,fl_4k,False,0.25934489402697497,0.3303604607952434
reversed_filled_text_files,fl_4k,False,0.26011560693641617,0.33221850613154963
reversed_half_memory,fl_4k,False,0.2547206165703276,0.3285024154589372
reversed_iou_python_files_2,fl_4k,False,0.2589595375722543,0.33221850613154963
completion_duplication_2,fl_4k,False,0.19229287090558767,0.241917502787068
completion_leak,fl_4k,False,0.251252408477842,0.31178000743218137
file_level,fl_4k,False,0.26165703275529867,0.33221850613154963
file_level_2,fl_4k,False,0.25934489402697497,0.3325901151988109
irrelevant_completion_leak,fl_4k,False,0.24778420038535645,0.31215161649944256
random_tokens,fl_4k,False,0.2608863198458574,0.3292456335934597
reversed_completion_leak,fl_4k,False,0.24470134874759153,0.30843552582683015
no_extension,pd_4k,False,0.37109826589595374,0.38870308435525824
no_extension_2,pd_4k,False,0.15915221579961464,0.12634708286882199
code_chunks_2,pd_4k,False,0.37495183044315994,0.38944630248978074
declarations,pd_4k,False,0.37032755298651254,0.3890746934225195
docstring_and_comment_chunks,pd_4k,False,0.37341040462427744,0.39316239316239315
