eval_name,composer_type,is_contaminated,inproject_em,infile_em
code_chunks_2,fl_16k,False,0.07745664739884393,0.09513192121887774
declarations,fl_16k,False,0.07552986512524085,0.09401709401709402
docstring_and_comment_chunks,fl_16k,False,0.07707129094412331,0.09290226681531029
filled_python_files_2,fl_16k,False,0.07552986512524085,0.09401709401709402
filled_random_files,fl_16k,False,0.0766859344894027,0.09438870308435526
filled_text_files,fl_16k,False,0.07630057803468208,0.0966183574879227
half_memory,fl_16k,False,0.07591522157996146,0.09253065774804906
iou_python_files_2,fl_16k,False,0.07514450867052024,0.0947603121516165
random_python_files_2,fl_16k,False,0.07514450867052024,0.09364548494983277
completion_duplication_2,fl_16k,False,0.07552986512524085,0.09253065774804906
completion_leak,fl_16k,False,0.07244701348747591,0.09253065774804906
file_level,fl_16k,False,0.07707129094412331,0.09513192121887774
random_tokens,fl_16k,False,0.07630057803468208,0.09215904868078781
code_chunks_2,pd_16k,False,0.42196531791907516,0.4459308807134894
declarations,pd_16k,False,0.42196531791907516,0.4451876625789669
docstring_and_comment_chunks,pd_16k,False,0.4211946050096339,0.4477889260497956
filled_python_files_2,pd_16k,False,0.41965317919075146,0.44816053511705684
filled_random_files,pd_16k,False,0.42042389210019265,0.44332961724266073
filled_text_files,pd_16k,False,0.42042389210019265,0.4496469713861018
half_memory,pd_16k,False,0.41772639691714836,0.4492753623188406
iou_python_files_2,pd_16k,False,0.4238921001926782,0.4474173169825344
random_python_files_2,pd_16k,False,0.41965317919075146,0.4496469713861018
completion_duplication_2,pd_16k,False,0.4296724470134875,0.4503901895206243
completion_leak,pd_16k,False,0.428131021194605,0.4451876625789669
file_level,pd_16k,False,0.42620423892100195,0.44630248978075066
random_tokens,pd_16k,False,0.4073217726396917,0.4295800817539948
code_chunks_2,or_16k,False,0.4296724470134875,0.4477889260497956
declarations,or_16k,False,0.18689788053949905,0.20438498699368265
docstring_and_comment_chunks,or_16k,False,0.2069364161849711,0.2601263470828688
filled_python_files_2,or_16k,False,0.41965317919075146,0.44816053511705684
filled_random_files,or_16k,False,0.2751445086705202,0.3311036789297659
filled_text_files,or_16k,False,0.22466281310211947,0.27127461910070605
half_memory,or_16k,False,0.3518304431599229,0.3801560758082497
iou_python_files_2,or_16k,False,0.4605009633911368,0.46562616127833517
random_python_files_2,or_16k,False,0.29672447013487474,0.33370494240059456
completion_duplication_2,or_16k,True,0.8689788053949904,0.8691936083240431
completion_leak,or_16k,True,0.7795761078998074,0.7662578966926793
file_level,or_16k,False,0.07707129094412331,0.09513192121887774
random_tokens,or_16k,False,0.2396917148362235,0.2950575994054255
