eval_name,is_contaminated,inproject_em,infile_em
declarations,False,0.27784200385356456,0.32292827945001856
completion_leak,True,0.7845857418111754,0.782608695652174
iou_python_files,False,0.4635838150289017,0.46153846153846156
completion_duplication,True,0.8678227360308285,0.8680787811222593
filled_random_files,False,0.28053949903660885,0.3311036789297659
code_chunks,False,0.4296724470134875,0.45001858045336307
random_tokens,False,0.2308285163776493,0.2961724266072092
file_level,False,0.25510597302504817,0.31066518023039763
filled_text_files,False,0.25741811175337187,0.3177257525083612
half_memory,False,0.33872832369942196,0.36826458565589
filled_python_files,False,0.42620423892100195,0.4459308807134894
random_python_files,False,0.29865125240847784,0.33519137866963955
docstring_and_comment_chunks,False,0.2608863198458574,0.31215161649944256
