eval_name,composer_type,is_masked,is_contaminated,inproject_em,infile_em
code_chunks,fl_4k,False,False,0.2631984585741811,0.32813080639167597
code_chunks_2,fl_4k,True,False,0.25741811175337187,0.3296172426607209
filled_python_files,fl_4k,False,False,0.261271676300578,0.32813080639167597
filled_python_files_2,fl_4k,True,False,0.2581888246628131,0.33370494240059456
iou_python_files,fl_4k,False,False,0.26165703275529867,0.3273875882571535
iou_python_files_2,fl_4k,True,False,0.2589595375722543,0.3340765514678558
irrelevant_code_chunks,fl_4k,False,False,0.26204238921001927,0.33519137866963955
irrelevant_code_chunks_2,fl_4k,True,False,0.25741811175337187,0.3232998885172798
irrelevant_filled_python_files,fl_4k,False,False,0.26011560693641617,0.3311036789297659
irrelevant_filled_python_files_2,fl_4k,True,False,0.25973025048169557,0.3303604607952434
irrelevant_iou_python_files,fl_4k,False,False,0.2608863198458574,0.3318468970642884
irrelevant_iou_python_files_2,fl_4k,True,False,0.2628131021194605,0.3292456335934597
random_python_files,fl_4k,False,False,0.25973025048169557,0.32998885172798215
random_python_files_2,fl_4k,True,False,0.25741811175337187,0.32813080639167597
reversed_code_chunks,fl_4k,False,False,0.2628131021194605,0.3311036789297659
reversed_code_chunks_2,fl_4k,True,False,0.2628131021194605,0.32998885172798215
reversed_filled_python_files,fl_4k,False,False,0.2628131021194605,0.33073206986250464
reversed_filled_python_files_2,fl_4k,True,False,0.25934489402697497,0.3303604607952434
reversed_iou_python_files,fl_4k,False,False,0.26011560693641617,0.33073206986250464
reversed_iou_python_files_2,fl_4k,True,False,0.2589595375722543,0.33221850613154963
completion_duplication,fl_4k,False,False,0.25703275529865127,0.3277591973244147
completion_duplication_2,fl_4k,True,False,0.19229287090558767,0.241917502787068
code_chunks,pd_4k,False,False,0.37302504816955684,0.389817911557042
code_chunks_2,pd_4k,True,False,0.37495183044315994,0.38944630248978074
filled_python_files,pd_4k,False,False,0.3741811175337187,0.3916759568933482
filled_python_files_2,pd_4k,True,False,0.3764932562620424,0.39018952062430323
iou_python_files,pd_4k,False,False,0.37572254335260113,0.391304347826087
iou_python_files_2,pd_4k,True,False,0.3737957610789981,0.39241917502787066
irrelevant_code_chunks,pd_4k,False,False,0.37263969171483624,0.391304347826087
irrelevant_code_chunks_2,pd_4k,True,False,0.3761078998073218,0.38387216648086214
irrelevant_filled_python_files,pd_4k,False,False,0.371868978805395,0.3879598662207358
irrelevant_filled_python_files_2,pd_4k,True,False,0.376878612716763,0.3890746934225195
irrelevant_iou_python_files,pd_4k,False,False,0.3722543352601156,0.3890746934225195
irrelevant_iou_python_files_2,pd_4k,True,False,0.37495183044315994,0.38684503901895206
random_python_files,pd_4k,False,False,0.3741811175337187,0.3920475659606094
random_python_files_2,pd_4k,True,False,0.37341040462427744,0.3879598662207358
reversed_code_chunks,pd_4k,False,False,0.37572254335260113,0.3916759568933482
reversed_code_chunks_2,pd_4k,True,False,0.3745664739884393,0.38870308435525824
reversed_filled_python_files,pd_4k,False,False,0.37341040462427744,0.389817911557042
reversed_filled_python_files_2,pd_4k,True,False,0.37109826589595374,0.39241917502787066
reversed_iou_python_files,pd_4k,False,False,0.37302504816955684,0.3927907840951319
reversed_iou_python_files_2,pd_4k,True,False,0.37263969171483624,0.3905611296915645
completion_duplication,pd_4k,False,False,0.36608863198458574,0.3857302118171683
completion_duplication_2,pd_4k,True,False,0.2836223506743738,0.2623560014864363
code_chunks,pd_16k,False,False,0.4859344894026975,0.4908955778520996
code_chunks_2,pd_16k,True,False,0.48285163776493256,0.4830917874396135
filled_python_files,pd_16k,False,False,0.48554913294797686,0.4901523597175771
filled_python_files_2,pd_16k,True,False,0.48709055876685936,0.4923820141211446
iou_python_files,pd_16k,False,False,0.48516377649325626,0.4890375325157934
iou_python_files_2,pd_16k,True,False,0.48747591522157996,0.4890375325157934
irrelevant_code_chunks,pd_16k,False,False,0.479383429672447,0.48606465997770343
irrelevant_code_chunks_2,pd_16k,True,False,0.47784200385356457,0.4756596060943887
irrelevant_filled_python_files,pd_16k,False,False,0.4836223506743738,0.48272017837235226
irrelevant_filled_python_files_2,pd_16k,True,False,0.48285163776493256,0.4830917874396135
irrelevant_iou_python_files,pd_16k,False,False,0.4836223506743738,0.4845782237086585
irrelevant_iou_python_files_2,pd_16k,True,False,0.4797687861271676,0.4819769602378298
random_python_files,pd_16k,False,False,0.48940269749518306,0.49126718691936083
random_python_files_2,pd_16k,True,False,0.4882466281310212,0.4882943143812709
reversed_code_chunks,pd_16k,False,False,0.48940269749518306,0.48866592344853216
reversed_code_chunks_2,pd_16k,True,False,0.4813102119460501,0.48569305091044224
reversed_filled_python_files,pd_16k,False,False,0.4867052023121387,0.4890375325157934
reversed_filled_python_files_2,pd_16k,True,False,0.4859344894026975,0.48717948717948717
reversed_iou_python_files,pd_16k,False,False,0.48285163776493256,0.4875510962467484
reversed_iou_python_files_2,pd_16k,True,False,0.4836223506743738,0.4845782237086585
completion_duplication,pd_16k,False,False,0.45857418111753373,0.4503901895206243
completion_duplication_2,pd_16k,True,False,0.34836223506743735,0.28056484578223706
code_chunks,or_16k,False,False,0.4766859344894027,0.4875510962467484
code_chunks_2,or_16k,True,False,0.48053949903660886,0.4882943143812709
filled_python_files,or_16k,False,False,0.48554913294797686,0.4901523597175771
filled_python_files_2,or_16k,True,False,0.48709055876685936,0.4923820141211446
iou_python_files,or_16k,False,False,0.5082851637764932,0.5001858045336306
iou_python_files_2,or_16k,True,False,0.5136801541425818,0.5024154589371981
irrelevant_code_chunks,or_16k,False,False,0.27591522157996146,0.33965068747677446
irrelevant_code_chunks_2,or_16k,True,False,0.27630057803468205,0.33444816053511706
irrelevant_filled_python_files,or_16k,False,False,0.2674373795761079,0.33444816053511706
irrelevant_filled_python_files_2,or_16k,True,False,0.27360308285163776,0.33704942400594573
irrelevant_iou_python_files,or_16k,False,False,0.2678227360308285,0.3348197696023783
irrelevant_iou_python_files_2,or_16k,True,False,0.27167630057803466,0.33593459680416204
random_python_files,or_16k,False,False,0.3244701348747592,0.36046079524340396
random_python_files_2,or_16k,True,False,0.32524084778420037,0.3600891861761427
reversed_code_chunks,or_16k,False,False,0.47552986512524087,0.4868078781122259
reversed_code_chunks_2,or_16k,True,False,0.4816955684007707,0.48940914158305465
reversed_filled_python_files,or_16k,False,False,0.4863198458574181,0.48606465997770343
reversed_filled_python_files_2,or_16k,True,False,0.4886319845857418,0.49424005945745075
reversed_iou_python_files,or_16k,False,False,0.5052023121387283,0.5005574136008919
reversed_iou_python_files_2,or_16k,True,False,0.5117533718689788,0.5053883314752879
completion_duplication,or_16k,False,True,0.9599229287090558,0.9535488665923448
completion_duplication_2,or_16k,True,True,0.9533718689788054,0.9416573764399851
