iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
12,0.31310662161190594,0.0,0.31025147823609034,0.9374380402737773,7.392129077167854,0.9902391806254977,0.7848922928382239,0.8885221089988649,0.9148584997977637,0.939498714820662,0.15433571996817821,0.2307080350039777,0.2824184566428003,0.3349244232299125,0.7797635609506739,0.8831716739030561,0.9097144484059453,0.9345813139385155,0.00602842307284737,1736434,15151,1751585,2.3437500000000002e-06
13,0.3249980705410203,0.0,0.3218188765762323,0.861590923737693,7.4700458532695295,0.9161206041479741,0.8037453432676955,0.8977647684938798,0.9203831825439064,0.9416112293773283,0.13875598086124402,0.21610845295055822,0.2767145135566188,0.3317384370015949,0.7982437621227915,0.8921252985340494,0.9150579914761107,0.9365656379062373,0.006530791662251317,1886754,16405,1903159,2.5390625000000003e-06
14,0.3345132743362832,0.0,0.3312504762630496,0.8603343664719426,7.467451039168665,0.9163663329268876,0.7985399965887771,0.8978884530104042,0.9230428108476889,0.9465188470066519,0.14628297362110312,0.20863309352517986,0.27258193445243806,0.3445243804956035,0.7930201723648073,0.892055524738544,0.9175381867871687,0.9414243773084573,0.007033160251655265,2033329,17656,2050985,2.734375e-06
15,0.33015032617944595,0.0,0.32620270901447923,0.8308587815842019,7.445603687549565,0.8972388144077508,0.8062828912905071,0.9021703214783653,0.9255256562139857,0.9477124183006536,0.14829500396510706,0.22918318794607453,0.2831086439333862,0.3330689928628073,0.7996633265254021,0.8953998595864182,0.9190627393413326,0.9415289124329844,0.007535528841059212,2157412,18917,2176329,2.9296875e-06
16,0.3038078850901474,0.0,0.30092626898851427,0.9243797098564813,7.39774319455565,0.9781982218769757,0.7863844408949975,0.890011140490987,0.9157819148222219,0.940908419795176,0.13690952762209768,0.2153722978382706,0.2746196957566053,0.32586068855084066,0.7809856577152174,0.8844031812585271,0.9104522312069482,0.9357958137832352,0.00803789743046316,2306418,20166,2326584,3.125e-06
17,0.3188854489164087,0.0,0.3156777996070727,0.9507262693221178,7.366349144634525,1.0089446143593341,0.7852954280868678,0.8854722106443221,0.9111487991721402,0.9351941014990586,0.1321928460342146,0.22628304821150855,0.2846034214618974,0.33670295489891133,0.7793150099686699,0.8794360581031045,0.9054115636570778,0.9297137567644546,0.008540266019867107,2445572,21452,2467024,3.3203125000000002e-06
18,0.33784915138138366,0.0,0.3345895831763021,0.8733571892116229,7.5285699838187705,0.9308054179376583,0.7988523977696478,0.8974489112582035,0.9212750509301358,0.9442129972296825,0.12944983818770225,0.21197411003236247,0.27184466019417475,0.33171521035598706,0.7930704347400714,0.891528124279335,0.9156655974618615,0.9389225490401616,0.009042634609271055,2587433,22688,2610121,3.5156250000000003e-06
19,0.32467420384914125,0.0,0.3211267605633803,0.9832238326210313,7.424293008641008,1.045444282853328,0.7823685305311167,0.8785072649111724,0.9027595876796968,0.927165991279025,0.15553809897879026,0.21916732128829536,0.2922230950510605,0.3322859387274156,0.7762807552927713,0.8721037573908068,0.8968300591264543,0.921388518024032,0.009545003198675003,2717235,23961,2741196,3.7109375e-06
20,0.32850763468740996,0.0,0.325506708535541,0.9322813126660979,7.45008506805445,0.9885588494085613,0.7849871979017049,0.8891039918954738,0.9152841094388587,0.9398474850295246,0.14811849479583666,0.22257806244995998,0.29143314651721375,0.3378702962369896,0.7795151548505153,0.8833771308283918,0.9099239161839769,0.9346752335484226,0.01004737178807895,2861352,25210,2886562,3.90625e-06
21,0.3428914577390782,0.0,0.3396282527881041,0.8425689587764352,7.443505781499205,0.8946493494726284,0.8061708359219485,0.8995955420877129,0.9225127106287482,0.9442634174791749,0.15789473684210525,0.23125996810207336,0.28708133971291866,0.32216905901116427,0.801057888248761,0.8943243855191325,0.9175010692092883,0.9393569649550932,0.010549740377482898,3019094,26464,3045558,4.101562500000001e-06
