iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.33753375337533753,0.2905003050049866,0.2957220490895511,0.7034864030191678,1.1479357971717867,1.1070052696452373,0.8253285976064973,0.9165328145148519,0.9389464515983078,0.9621066443454064,0.7360975301930585,0.8406791867775217,0.8749864673267717,0.9163388430852527,0.7443833427953068,0.8477227979641965,0.8809256593489987,0.9205887465712381,0.0005023685894039475,176812,1727301,1904113,1.953125e-07
2,0.35362047440699124,0.29440217290197757,0.30054744829192803,0.6626834581631337,1.1287789310258565,1.0826228641512166,0.8359516784501475,0.9207816066358626,0.940861771419028,0.9619050269999443,0.7447682740315507,0.8460993842504191,0.87899677873166,0.9173583760639227,0.7538127251894697,0.8535070887229255,0.8851331465094769,0.9217769433592402,0.001004737178807895,356442,3358646,3715088,3.90625e-07
3,0.34787653747969366,0.30954099741322266,0.31383456107769,0.6590009315195928,1.1001890955983744,1.0562839428610704,0.8385521724717239,0.9249285019974491,0.9444984464284711,0.962618765346084,0.7536188016790032,0.8501577841301037,0.8814267211539232,0.9182376754843717,0.7620160766166888,0.8575502880347531,0.8876625577041658,0.9226255881519668,0.0015071057682118426,534419,4980799,5515218,5.859375000000001e-07
4,0.3587918907736864,0.2928007322939693,0.29956039355243874,0.6798547126780525,1.1178704576708296,1.077652658906158,0.8347499881285911,0.9168585877771974,0.9361496272377606,0.956384443705779,0.7367708109945943,0.841556692491,0.8773527385266734,0.9221665768611812,0.745775239869931,0.8484770461836556,0.8827562581109012,0.925311248589201,0.00200947435761579,702891,6645508,7348399,7.8125e-07
5,0.3461600386411206,0.31251780525326195,0.3159183673469388,0.6678672495388773,1.0299454611508052,0.9976346328490057,0.8364123677481409,0.9238745396110446,0.9427534191944072,0.9617965139465597,0.7663408760994925,0.8632356540197904,0.8936890589101782,0.9275768321307837,0.7726327452619095,0.8686805493019976,0.8980946527998298,0.930649490578587,0.0025118429470197376,873399,8373919,9247318,9.765625e-07
6,0.4054513322457858,0.33585632974291535,0.34470801481598234,0.5935463564107439,1.0391190660218321,0.9913403484931883,0.8553331088458281,0.9333578228793584,0.950388261344272,0.9669646228099713,0.7634561106623711,0.859960135502437,0.8907682054526525,0.9260455216935962,0.7733288670006914,0.867847174669973,0.897174752208998,0.9304425342526961,0.003014211536423685,1069401,10001934,11071335,1.1718750000000001e-06
7,0.36320298466215284,0.3187639991855019,0.3243075173675888,0.6449840391417263,1.0967617908229135,1.0492106752563088,0.8418681105153426,0.9270548322891339,0.945388279407826,0.9634538932973421,0.7526623360492846,0.8497068759936407,0.8811891395071542,0.9180053905007949,0.7620957239496473,0.8578863159391267,0.8879781102119948,0.9228115071332297,0.0035165801258276327,1259818,11612174,12871992,1.3671875e-06
8,0.35928842228054825,0.2883052442467277,0.29644158970948487,0.6273927327536837,1.115047034854818,1.0672485321534178,0.8472973414153726,0.9296612290648704,0.9475900795507721,0.964463331555865,0.749003379199833,0.8496404336857237,0.882526251365498,0.9196411097629104,0.7586637290238398,0.857504893100461,0.8889207371201832,0.9240462464839196,0.00401894871523158,1443600,13298372,14741972,1.5625e-06
9,0.3670833333333333,0.3025017564223967,0.3105535947654312,0.5949746155804612,1.117835699847017,1.0594638582528821,0.8530721193589833,0.9332091670567613,0.951375954901746,0.9679989641743773,0.7435815889542723,0.8458150522907588,0.8800923976272029,0.9201486559606716,0.7557875510747912,0.8555577145141233,0.8880390611120981,0.9254829898738675,0.004521317304635527,1644406,14898846,16543252,1.7578125000000002e-06
10,0.36154808723632464,0.31076782830134464,0.31567855261160377,0.6777668872104647,1.0978740545024401,1.0634874378275105,0.8327792143824652,0.9202651993856085,0.9405051231699493,0.9596368090525538,0.7487356888823222,0.8485595520493648,0.8810389979047395,0.9193097855993597,0.7556577099492532,0.8544653966522135,0.8859367668810522,0.9226312134458052,0.005023685894039475,1798705,16617964,18416669,1.953125e-06
