iter_num,completion_cross_entropy,context_cross_entropy,cross_entropy,detached_cross_entropy,full_cross_entropy,inproject_cross_entropy,infile_cross_entropy,commited_cross_entropy,common_cross_entropy,non_informative_cross_entropy,random_cross_entropy,completion_exact_match,inproject_top_1_accuracy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
1,2.2509015023596257,1.7583167957084256,1.8617553710937507,nan,1.8617553710937507,1.934967195208938,2.1966313083856384,2.2605709069751754,2.7484412660685598,2.601070142580391,2.0433458909957127,0.0764047122703253,0.6036973191464067,0.750163466682518,0.7962016287225822,0.848481245913333,0.005220654213231096,7e-07
2,2.114611331209416,1.6610194525538395,1.7622375488281257,nan,1.7622375488281257,1.8572004660115535,2.0694561571406918,1.5708446332603498,2.20209133195511,2.329926947607289,2.0487713826338743,0.1163068970468578,0.6199558678063256,0.7636898572044538,0.8088619473964542,0.8581936236589139,0.010441308426462192,1.4e-06
3,2.255960053849269,1.6542141071973606,1.775177001953126,nan,1.775177001953126,1.6911482541294591,2.0296952726793758,2.8610925884498895,2.3627695411142677,2.6735295061933817,2.124318429775468,0.09261109650276098,0.6487337139511052,0.790635826867711,0.8343336749133851,0.8784462987361538,0.015661962639693286,2.1e-06
4,2.2971203067064176,1.6457865516850778,1.804382324218751,nan,1.804382324218751,1.7873240157504542,2.0040156669322378,2.074513090676883,2.3057635827806546,2.753349828947797,2.132778450231584,0.08440704706810413,0.6271858529136496,0.7724496330230038,0.8196147973006256,0.86838086793754,0.020882616852924384,2.8e-06
5,2.099385634059388,1.7265181553732727,1.804107666015626,nan,1.804107666015626,1.7683740128587482,2.096623877143116,2.119483231914604,2.366355132522743,2.324305104757253,2.0054217130183405,0.11982815936173477,0.63639767833739,0.7754834568165405,0.8198036750742237,0.8671463342873191,0.026103271066155478,3.4999999999999995e-06
6,2.0144192557609726,1.6044853270053057,1.6953735351562513,nan,1.6953735351562513,1.6882912377632981,1.890722145542009,1.5877658352743274,2.4489943771626286,2.376052079467103,1.9406721015085056,0.08380377652326261,0.6377069874508057,0.7920843543476647,0.835028835919903,0.8816118412910572,0.03132392527938657,4.2e-06
7,1.9816803412072042,1.5990450524892401,1.6773071289062504,nan,1.6773071289062504,1.754403361780004,1.7338081903829405,2.0477611044993864,1.8258778155874151,2.1693159738490646,1.9296396662018946,0.12651026983487718,0.6277566755485005,0.7783604512727479,0.8249617325245195,0.8724984409547026,0.03654457949261767,4.9e-06
8,2.0516721857808307,1.5341543794576376,1.6464843750000016,nan,1.6464843750000016,1.7013921090423862,1.956458814510991,1.753061847810112,2.5069969820689004,2.5832430791051157,1.8127545442955435,0.10891460158336067,0.6491916409271781,0.7874335642930684,0.8303419873667808,0.8749478253610485,0.04176523370584877,5.6e-06
9,1.8598067397899485,1.4876089710319382,1.5598144531250009,nan,1.5598144531250009,1.6303578836322015,1.7147820897344523,2.2852242891905736,2.2017661765769674,2.017638166129316,1.785658817395214,0.14156733451686532,0.6495163176358031,0.7935314127777188,0.8359200595301371,0.8830126501541405,0.04698588791907986,6.299999999999999e-06
10,1.8392852542659377,1.407387010904585,1.5075988769531252,nan,1.5075988769531252,1.3561483363239197,1.5348300287000773,1.2154199078964574,1.9118409577274864,2.285671559762867,1.7224458748282014,0.1318293500111682,0.6964945129245332,0.8317730275133927,0.8713527851458885,0.9120247568523431,0.052206542132310955,6.999999999999999e-06
